Model	Mag.	FOV 	Params	Tile F1 	WSI F1	Time	FPS
DenseNet	5x	512	15.87	0.75	0.763	0.43	264.65
DenseNet	10x	512	15.87	0.767	0.748	1.08	102.83
DenseNet	20x	512	15.87	0.719	0.636	3.04	36.11
FCN	5x	512	39.41	0.712	0.775	0.74	202.6
FCN	10x	512	39.41	0.738	0.745	1.55	93.7
FCN	20x	512	39.41	0.748	0.676	7.46	18.9
U-Net	5x	512	31.03	0.771	0.806	0.861	171.88
U-Net	10x	512	31.03	0.803	0.797	2.16	66.54
U-Net	20x	512	31.03	0.673	0.429	7.91	18.04
DenseNet-Small	5x	512	4.39	0.749	0.794	0.78	191.8
DenseNet-Small	10x	512	4.39	0.805	0.845	1.56	93.7
DenseNet-Small	20x	512	4.39	0.726	0.649	2.85	49.9
FCN-Small	5x	512	6.1	0.699	0.725	0.73	206.3
FCN-Small	10x	512	6.1	0.74	0.715	1.51	96.5
FCN-Small	20x	512	6.1	0.74	0.653	2.57	55.4
U-Net-Small	5x	512	8.6	0.767	0.733	0.75	199.5
U-Net-Small	10x	512	8.6	0.785	0.692	1.55	93.48
U-Net-Small	20x	512	8.6	0.801	0.626	4.13	34.31
