Model	Mag.	FOV 	Params	Tile F1 	WSI F1	Time	FPS
DenseNet	5x	1024	15.87	0.771	0.687	0.235	121.79
DenseNet	10x	512	15.87	0.777	0.749	1.08	103.2
DenseNet	20x	256	15.87	0.826	0.592	3.25	136.84
FCN	5x	1024	39.41	0.765	0.828	0.33	117.4
FCN	10x	512	39.41	0.76	0.782	1.52	95.7
FCN	20x	256	39.41	0.77	0.613	4.17	137.12
U-Net	5x	1024	31.03	0.777	0.757	0.572	64.54
U-Net	10x	512	31.03	0.706	0.633	2.15	66.86
U-Net	20x	256	31.03	0.741	0.527	7.923	72.68
DenseNet-Small	5x	1024	4.39	0.784	0.808	0.31	126.8
DenseNet-Small	10x	512	4.39	0.804	0.845	1.53	95.3
DenseNet-Small	20x	256	4.39	0.852	0.753	4.08	140.7
FCN-Small	5x	1024	6.1	0.736	0.815	0.28	141.1
FCN-Small	10x	512	6.1	0.756	0.8	1.51	96.5
FCN-Small	20x	256	6.1	0.73	0.674	3.8	151.7
U-Net-Small	5x	1024	8.6	0.781	0.803	0.37	102.5
U-Net-Small	10x	512	8.6	0.761	0.755	1.51	95.5
U-Net-Small	20x	256	8.6	0.801	0.648	4.59	124.6
