MODEL	SLIDE	MAG	PROC_SIZE	BATCH	N_TILES	TOTAL_SECONDS	FPS
DenseNet	/dev/shm/1304715.svs	5	128	12	9173	42.0563509464	218.112123225
DenseNet	/dev/shm/1304715.svs	5	256	12	2262	22.7923920155	99.2436422849
DenseNet	/dev/shm/1304715.svs	10	256	12	9173	86.3586621284	106.21980209
DenseNet	/dev/shm/1304715.svs	20	512	2	9173	339.256626129	27.0385286344
UNet	/dev/shm/1304715.svs	5	128	12	9173	42.0985350609	217.893567715
UNet	/dev/shm/1304715.svs	5	256	12	2262	32.8275420666	68.905554836
UNet	/dev/shm/1304715.svs	10	256	12	9173	125.129557133	73.3080193856
UNet	/dev/shm/1304715.svs	20	512	2	9173	507.999552965	18.0571025042
FCN	/dev/shm/1304715.svs	5	128	12	9173	40.7403731346	225.157486155
FCN	/dev/shm/1304715.svs	5	256	12	2262	14.4017648697	157.064083497
FCN	/dev/shm/1304715.svs	10	256	12	9173	85.47696805	107.315458296
FCN	/dev/shm/1304715.svs	20	512	2	9173	457.348822117	20.0569008958
DenseNet-S	/dev/shm/1304715.svs	5	128	12	9173	39.8436200619	230.225064534
Densenet-S	/dev/shm/1304715.svs	5	256	2	2262	32.5273249149	69.5415318018
Densenet-S	/dev/shm/1304715.svs	5	256	4	2262	20.3921749592	110.924901563
Densenet-S	/dev/shm/1304715.svs	5	256	8	2262	17.0497851372	132.670293602
DenseNet-S	/dev/shm/1304715.svs	5	256	12	2262	13.737195015	164.662436366
Densenet-S	/dev/shm/1304715.svs	5	256	16	2262	14.8197009563	152.634658868
Densenet-S	/dev/shm/1304715.svs	5	256	24	2262	15.170030117	149.109789667
Densenet-S	/dev/shm/1304715.svs	5	256	36	2262	14.5426220894	155.542789058
Densenet-S	/dev/shm/1304715.svs	5	256	48	2262	13.6233661175	166.038259597
Densenet-S	/dev/shm/1304715.svs	5	256	64	2262	14.5347790718	155.626720491
DenseNet-S	/dev/shm/1304715.svs	10	256	12	9173	80.9090268612	113.374247051
DenseNet-S	/dev/shm/1304715.svs	20	512	2	9173	196.766316891	46.618751344
UNet-S	/dev/shm/1304715.svs	5	128	12	9173	39.0059850216	235.169038672
UNet-S	/dev/shm/1304715.svs	5	256	12	2262	14.3529441357	157.598328163
UNet-S	/dev/shm/1304715.svs	10	256	12	9173	80.9993481636	113.247824927
UNet-S	/dev/shm/1304715.svs	20	512	2	9173	181.344300985	50.5833376078
Inception-V3	/dev/shm/1304715.svs	5	299	8	1642	13.8602700233	118.468110451
Inception-V3	/dev/shm/1304715.svs	10	299	8	6658	84.5959410667	78.7035396266
NASNET	/dev/shm/1304715.svs	5	331	4	1348	51.1930189133	26.3317153123
NASNET	/dev/shm/1304715.svs	10	331	4	5554	197.41155982	28.1341173995
MobileNet-v2-035%	/dev/shm/1304715.svs	5	128	32	9173	37.9173760414	241.920748682
MobileNet-v2-035%	/dev/shm/1304715.svs	10	128	32	36923	184.713555813	199.893287948
MobileNet-v2-050%	/dev/shm/1304715.svs	5	128	32	9173	37.9249179363	241.872639392
MobileNet-v2-050%	/dev/shm/1304715.svs	10	128	32	36923	197.625754118	186.832936652
MobileNet-v2-100%	/dev/shm/1304715.svs	5	128	32	9173	38.8384609222	236.183406401
MobileNet-v2-100%	/dev/shm/1304715.svs	10	128	32	36923	178.779422998	206.528242349
MobileNet-v2-035%	/dev/shm/1304715.svs	5	224	32	3038	15.9004731178	191.063497135
MobileNet-v2-035%	/dev/shm/1304715.svs	10	224	32	12102	93.1054749489	129.981615009
MobileNet-v2-050%	/dev/shm/1304715.svs	5	224	32	3038	16.3520247936	185.787389534
MobileNet-v2-050%	/dev/shm/1304715.svs	10	224	32	12102	99.9160499573	121.121681704
MobileNet-v2-100%	/dev/shm/1304715.svs	5	224	32	3038	16.9641270638	179.08378006
MobileNet-v2-100%	/dev/shm/1304715.svs	10	224	32	12102	97.3553099632	124.307549373
Densenet-S	/dev/shm/TCGA-2A-A8VL-01Z-00-DX1.2C2BD6EF-EC17-4117-AE89-A22B67AFB233.svs	10	256	16	9567	65.0717520714	147.022320676
Densenet-S	/dev/shm/TCGA-2A-A8VL-01Z-00-DX1.2C2BD6EF-EC17-4117-AE89-A22B67AFB233.svs	5	128	16	9567	60.2266499996	158.849944336
Densenet-S	/dev/shm/TCGA-2A-A8VL-01Z-00-DX1.2C2BD6EF-EC17-4117-AE89-A22B67AFB233.svs	20	512	4	9567	474.969844818	20.1423313593
MobileNet-v2-035%	/dev/shm/1304715.svs	20	128	32	148052	547.796640873	270.268177921
MobileNet-v2-050%	/dev/shm/1304715.svs	20	128	32	148052	543.846980095	272.230986691
MobileNet-v2-100%	/dev/shm/1304715.svs	20	128	32	148052	565.051334143	262.015132173
MobileNet-v2-035%	/dev/shm/1304715.svs	20	224	32	48487	238.684363127	203.142758767
