	Slide	Region_area	TotalAcc	EpitheliumAcc	EpitheliumF1	Class_Label	Stroma_Area	G3	G4	G5	BN	ST
1305449_00	1305449	3039.0	0.36097400460677853	0.46111811685582177	0.6311852704257768	G4	660	461	1097	0	821	0
1304706_00	1304706	589.0	0.4142614601018676	0.488	0.6559139784946236	G3	89	244	123	0	133	0
1305445_00	1305445	959.0	0.6840458811261731	0.7437641723356009	0.8530559167750325	G4	77	12	656	0	214	0
1304704_00	1304704	580.0	0.3724137931034483	0.4444444444444444	0.6153846153846153	G3	94	216	232	0	38	0
1305489_00	1305489	1007.0	0.637537239324727	0.740484429065744	0.8508946322067594	G4	140	12	642	0	213	0
1305496_00	1305496	1594.0	0.493099121706399	0.6463815789473685	0.7852147852147852	G4	378	204	786	0	226	0
1305461_00	1305461	737.0	0.21031207598371776	0.3069306930693069	0.46969696969696967	G4	232	179	155	0	171	0
1305475_00	1305475	5108.0	0.5532498042286609	0.8116025272831706	0.896005072923272	G4	1626	113	2826	0	543	0
1305487_00	1305487	1259.0	0.3177124702144559	0.5141388174807198	0.6791171477079796	G4	481	65	400	0	313	0
1305474_00	1305474	2663.0	0.6481411941419452	0.912262156448203	0.9541182974018795	G4	771	6	1726	0	160	0
1304709_00	1304709	1258.0	0.2591414944356121	0.2931654676258993	0.4534075104311544	G3	146	326	538	0	248	0
1305485_00	1305485	1649.0	0.43480897513644634	0.8011173184357542	0.8895781637717121	G4	754	3	717	0	175	0
1305472_00	1305472	923.0	0.5872156013001083	0.8262195121951219	0.9048414023372285	G4	267	39	542	0	75	0
1305456_00	1305456	2881.0	0.2395001735508504	0.25679196129512466	0.40864672786496886	G4	194	105	690	0	1892	0
1305497_00	1305497	1645.0	0.4844984802431611	0.7028218694885362	0.825479026411186	G4	511	10	797	0	327	0
1305480_00	1305480	2153.0	0.43985137018114256	0.5531542056074766	0.7122978563369688	G4	441	43	947	0	722	0
1304716_00	1304716	750.0	0.34	0.3733528550512445	0.5437100213219616	G3	67	255	118	0	310	0
1305498_00	1305498	2173.0	0.5697192820984813	0.7815656565656566	0.8773919206236711	G4	589	12	1238	0	334	0
1305491_00	1305491	1096.0	0.6395985401459854	0.6551401869158878	0.7916431394692264	G4	26	132	701	0	237	0
1304726_00	1304726	1808.0	0.4131637168141593	0.537410071942446	0.6991109031352363	G3	418	747	136	0	507	0
1305450_00	1305450	2118.0	0.2837582625118036	0.339356295878035	0.5067453625632378	G4	347	480	601	0	690	0
1304730_00	1304730	886.0	0.25395033860045146	0.2848101265822785	0.44334975369458135	G3	96	225	299	0	266	0
1305479_00	1305479	2699.0	0.32938125231567245	0.37368642286675074	0.5440636474908201	G4	320	289	889	0	1201	0
1305460_00	1305460	3529.0	0.43071691697364695	0.5080213903743316	0.6737588652482269	G4	537	121	1520	0	1351	0
1305455_00	1305455	827.0	0.5973397823458283	0.6432291666666666	0.7828843106180666	G4	59	11	494	0	263	0
1305473_00	1305473	2248.0	0.46441281138790036	0.6342648845686513	0.7762081784386617	G4	602	375	1044	0	227	0
1305484_00	1305484	2102.0	0.5309229305423406	0.7410358565737052	0.851258581235698	G4	596	46	1116	0	344	0
1305454_00	1305454	2506.0	0.04948124501197127	0.058935361216730035	0.11131059245960502	G4	402	644	124	0	1336	0
1305457_00	1305457	1088.0	0.0900735294117647	0.10804851157662625	0.19502487562189055	G4	181	31	98	0	778	0
1305493_00	1305493	2435.0	0.43039014373716633	0.6252983293556086	0.7694566813509546	G4	759	177	1048	0	451	0
1305446_00	1305446	1667.0	0.49250149970005996	0.5341574495770982	0.6963528413910093	G4	130	22	821	0	694	0
1304727_00	1304727	1353.0	0.3998521803399852	0.4576988155668359	0.6279744631456761	G3	171	541	108	0	533	0
1305494_00	1305494	3727.0	0.5081835256238262	0.6955563716489166	0.8204461771713233	G4	1004	521	1894	0	308	0
1304720_00	1304720	770.0	0.24025974025974026	0.3027823240589198	0.46482412060301503	G3	159	185	78	0	348	0
1305495_00	1305495	1979.0	0.6356745831227892	0.8482805124747134	0.9179131703757752	G4	496	39	1258	0	186	0
1305453_00	1305453	1352.0	0.058431952662721894	0.09838107098381071	0.17913832199546487	G4	549	397	79	0	327	0
1304717_00	1304717	779.0	0.33889602053915274	0.37446808510638296	0.544891640866873	G3	74	264	185	0	255	0
1304711_00	1304711	1136.0	0.24119718309859156	0.31786542923433875	0.48239436619718307	G3	274	274	414	0	174	0
1305448_00	1305448	3444.0	0.37253193960511033	0.45128385508265917	0.6219098400387785	G4	601	452	1283	0	1108	0
1305447_00	1305447	1532.0	0.4497389033942559	0.5395458104933438	0.7009155645981688	G4	255	297	689	0	291	0
1305481_00	1305481	2449.0	0.35034708044099633	0.4294294294294294	0.6008403361344538	G4	451	59	858	0	1081	0
1305458_00	1305458	3482.0	0.30470993681792075	0.5009442870632672	0.6675055048757471	G4	1364	26	1061	0	1031	0
1305459_00	1305459	3077.0	0.32921676958076046	0.5262337662337663	0.6895847515316543	G4	1152	6	1013	0	906	0
1305482_00	1305482	1003.0	0.5084745762711864	0.6657963446475196	0.799373040752351	G4	237	3	510	0	253	0
1305478_00	1305478	1101.0	0.33787465940054495	0.4946808510638298	0.6619217081850534	G4	349	102	372	0	278	0
1304732_00	1304732	1535.0	0.20195439739413681	0.2264426588750913	0.36926742108397853	G3	166	310	757	0	302	0
