	Slide	Region_area	TotalAcc	EpitheliumAcc	EpitheliumF1	Class_Label	Stroma_Area	G3	G4	G5	BN	ST
1305449_00	1305449	2462.0	0.4870024370430544	0.6212435233160621	0.7663790348354106	G4	532	589	1199	0	142	0
1305445_00	1305445	789.0	0.8048162230671736	0.8770718232044199	0.9345106696100073	G4	65	33	635	0	56	0
1305489_00	1305489	832.0	0.6310096153846154	0.8495145631067961	0.9186351706036746	G4	214	18	525	0	75	0
1305496_00	1305496	1308.0	0.5489296636085627	0.6704014939309056	0.8026830631637787	G4	237	306	718	0	47	0
1305461_00	1305461	610.0	0.23278688524590163	0.3271889400921659	0.4930555555555556	G4	176	275	142	0	17	0
1305475_00	1305475	4200.0	0.5661904761904762	0.8850018608113137	0.9389930898321818	G4	1513	147	2378	0	162	0
1305487_00	1305487	1027.0	0.3193768257059396	0.4932330827067669	0.6606243705941591	G4	362	216	328	0	121	0
1305474_00	1305474	2201.0	0.676056338028169	0.970013037809648	0.9847782925215087	G4	667	6	1488	0	40	0
1304709_00	1304709	1051.0	0.40913415794481445	0.44421487603305787	0.6151645207439199	G3	83	430	478	0	60	0
1305485_00	1305485	1357.0	0.4023581429624171	0.9176470588235294	0.9570552147239263	G4	762	3	546	0	46	0
1305472_00	1305472	763.0	0.6382699868938401	0.7905844155844156	0.8830462375339981	G4	147	107	487	0	22	0
1305456_00	1305456	2373.0	0.38137378845343445	0.40894713059195664	0.5805003207184092	G4	160	218	905	0	1090	0
1305497_00	1305497	1343.0	0.48175725986597173	0.8755074424898511	0.9336219336219336	G4	604	12	647	0	80	0
1305480_00	1305480	1755.0	0.6444444444444445	0.7626432906271072	0.8653404743687835	G4	272	59	1131	0	293	0
1304716_00	1304716	628.0	0.34554140127388533	0.4011090573012939	0.5725593667546175	G3	87	217	187	0	137	0
1305498_00	1305498	1823.0	0.5469007131102578	0.9055404178019982	0.9504289799809343	G4	722	48	997	0	56	0
1305491_00	1305491	893.0	0.5677491601343785	0.5985832349468713	0.7488921713441653	G4	46	248	507	0	92	0
1304726_00	1304726	1484.0	0.6132075471698113	0.7615062761506276	0.8646080760095012	G3	289	910	144	0	141	0
1305450_00	1305450	1718.0	0.3690337601862631	0.4312925170068027	0.6026615969581749	G4	248	689	634	0	147	0
1304730_00	1304730	712.0	0.3693820224719101	0.4208	0.5923423423423423	G3	87	263	292	0	70	0
1305479_00	1305479	2195.0	0.5216400911161732	0.5923435075012933	0.7439896036387265	G4	262	390	1145	0	398	0
1305460_00	1305460	2845.0	0.5149384885764499	0.6129707112970711	0.7600518806744487	G4	455	512	1465	0	413	0
1305455_00	1305455	682.0	0.7272727272727273	0.7873015873015873	0.8809946714031971	G4	52	24	496	0	110	0
1305473_00	1305473	1831.0	0.4194429273620972	0.5079365079365079	0.6736842105263158	G4	319	707	768	0	37	0
1305484_00	1305484	1757.0	0.6089926010244735	0.9452296819787986	0.9718437783832878	G4	625	5	1070	0	57	0
1305454_00	1305454	2052.0	0.18372319688109162	0.21384004537719795	0.3523364485981308	G4	289	834	377	0	552	0
1305457_00	1305457	866.0	0.29445727482678985	0.3512396694214876	0.5198776758409785	G4	140	96	255	0	375	0
1305493_00	1305493	1992.0	0.6149598393574297	0.8172114743162108	0.8994126284875184	G4	493	175	1225	0	99	0
1305446_00	1305446	1374.0	0.6397379912663755	0.6992840095465394	0.8230337078651685	G4	117	52	879	0	326	0
1304727_00	1304727	1082.0	0.6173752310536045	0.698744769874477	0.8226600985221675	G3	126	668	89	0	199	0
1305494_00	1305494	3130.0	0.6693290734824281	0.8427192276749799	0.9146474568871423	G4	644	329	2095	0	62	0
1304720_00	1304720	633.0	0.36334913112164297	0.4956896551724138	0.6628242074927955	G3	169	230	140	0	94	0
1305495_00	1305495	1608.0	0.5509950248756219	0.802536231884058	0.8904522613065327	G4	504	161	886	0	57	0
1305453_00	1305453	1096.0	0.1332116788321168	0.21376281112737922	0.35223160434258144	G4	413	486	146	0	51	0
1304717_00	1304717	629.0	0.7408585055643879	0.7845117845117845	0.879245283018868	G3	35	466	83	0	44	0
1304711_00	1304711	931.0	0.5327604726100966	0.6578249336870027	0.7936000000000001	G3	177	496	226	0	32	0
1305448_00	1305448	2819.0	0.5104647037956722	0.612862010221465	0.7599683126485344	G4	471	607	1439	0	302	0
1305447_00	1305447	1268.0	0.44952681388012616	0.5332086061739943	0.6955460646735815	G4	199	408	570	0	91	0
1305481_00	1305481	2004.0	0.47105788423153694	0.5756097560975609	0.7306501547987614	G4	364	115	944	0	581	0
1305458_00	1305458	2831.0	0.46555987283645356	0.7789598108747045	0.8757475083056477	G4	1139	82	1318	0	292	0
1305459_00	1305459	2536.0	0.4952681388012618	0.7529976019184652	0.8590971272229821	G4	868	25	1256	0	387	0
1305482_00	1305482	834.0	0.5863309352517986	0.8609154929577465	0.9252601702932828	G4	266	4	489	0	75	0
1305478_00	1305478	904.0	0.4723451327433628	0.6777777777777778	0.8079470198675497	G4	274	135	427	0	68	0
1304732_00	1304732	1236.0	0.3681229773462783	0.4099099099099099	0.5814696485623003	G3	126	455	592	0	63	0
