	Slide	Region_area	TotalAcc	EpitheliumAcc	EpitheliumF1	Class_Label	Stroma_Area	G3	G4	G5	BN	ST
1305449_00	1305449	5397.0	0.36724105984806377	0.45271813613522155	0.6232704402515723	G4	1019	1314	1982	0	1082	0
1304700_00	1304700	872.0	0.6502293577981652	0.7204574332909784	0.8375184638109306	G3	85	567	35	0	185	0
1304706_00	1304706	1047.0	0.5959885386819485	0.6872246696035242	0.814621409921671	G3	139	624	91	0	193	0
1305445_00	1305445	1729.0	0.6570271833429728	0.6956521739130435	0.8205128205128205	G4	96	183	1136	0	314	0
1305488_00	1305488	583.0	0.5643224699828473	0.5771929824561404	0.731924360400445	G4	13	169	329	0	72	0
1304704_00	1304704	1036.0	0.7615830115830116	0.8594771241830066	0.9244288224956063	G3	118	789	103	0	26	0
1305451_00	1305451	767.0	0.42894393741851367	0.4660056657223796	0.6357487922705314	G4	61	340	329	0	37	0
1305489_00	1305489	754.0	0.43103448275862066	0.49242424242424243	0.6598984771573604	G4	94	57	325	0	278	0
1305489_01	1305489	1816.0	0.573237885462555	0.6916943521594684	0.8177533385703064	G4	311	88	1041	0	376	0
1305489_02	1305489	693.0	0.5815295815295816	0.775	0.8732394366197184	G4	173	28	403	0	89	0
1305496_00	1305496	2863.0	0.2920013971358715	0.35772357723577236	0.5269461077844312	G4	526	1180	836	0	321	0
1305461_00	1305461	1332.0	0.1539039039039039	0.2093973442288049	0.3462837837837838	G4	353	641	205	0	133	0
1305475_00	1305475	9171.0	0.5217533529604187	0.7409414679467328	0.8511962999199502	G4	2713	757	4785	0	916	0
1304702_00	1304702	529.0	0.6994328922495274	0.7566462167689162	0.861466821885914	G3	40	370	32	0	87	0
1305487_00	1305487	726.0	0.2644628099173554	0.3742690058479532	0.5446808510638298	G4	213	57	192	0	264	0
1305487_01	1305487	2245.0	0.2182628062360802	0.3113087674714104	0.4748062015503876	G4	671	730	490	0	354	0
1305474_00	1305474	4808.0	0.6383111480865225	0.8816432059752944	0.9370992366412213	G4	1327	65	3069	0	347	0
1305444_00	1305444	702.0	0.6780626780626781	0.7104477611940299	0.8307155322862129	G4	32	85	476	0	109	0
1305444_01	1305444	743.0	0.6244952893674294	0.6572237960339944	0.7931623931623932	G4	37	89	464	0	153	0
1304709_00	1304709	2294.0	0.6508282476024412	0.6970121381886087	0.8214580467675378	G3	152	1493	257	0	392	0
1305483_00	1305483	879.0	0.22525597269624573	0.2964071856287425	0.4572748267898384	G4	211	215	198	0	255	0
1305485_00	1305485	2970.0	0.4478114478114478	0.7315731573157316	0.8449809402795426	G4	1152	233	1330	0	255	0
